product_id,parent_sku,title_len,title
29728266360,Bitatto japan-1225-1,99,Bitatto Japan Okuchi Series Koisuru Okuchi Refreshing MouthWash / Lemon Mint Cherry Peach Whitening
28060903558,,95,Kao Humming Flare Fragrance Mist Fabric Spray Wrinkle Care Spray For Clothing Direct From Japan
28703589799,,95,Pigeon Baby Tooth and Gum Wipes Brushing Individual Packaging 42 Sheet / Pack Direct From Japan
29506106363,,96,"Pigeon Pacifier Skin 0-3/S, 3-6/M, 6-18/L Snoopy Pattern Realistic Feel Soft Material From Japan"
26466956496,Pigeon-20241107-2,86,Pigeon Mother's Milk Sensation Nipples SS S M L LL 3L (Round & Y Shaped) Made In Japan
28156103656,,78,Pigeon Breastmilk Sponge Brush 1/2pcs Slim Nipple Brush 2pcs Direct From Japan
27801048402,,94,Bioré Skin Care Facial Cleanser Moisture/ Scrub/ Acne Care/ Travel Size 130g Direct From Japan
27734902871,SKATER-0425-046,99,SKATER Die-Cut Training Chopsticks for Right-handed People Dinosaurs/ Hello Kitty Direct from Japan
27184908252,SKATER-0425-041,96,3Pcs/Set SKATER Kids' Toothbrush w/ Caps Hello Kitty / Pokemon / Frozen / Cars Direct from Japan
28034911835,SKATER-0425-030,98,SKATER Character Die-Cut Lunch Box 300ml Sanrio Cinnamoroll / Hello Kitty / Cars Direct from Japan
28284908111,SKATER-0425-039,127,SKATER Antibacterial Round Lunch Box 500ml (2 Layer) Made In Japan ONWR1AG Hello Kitty/ Cinnamoroll/ Kuromi/ Monster/ Minecraft
26884908088,SKATER-0425-036,150,SKATER Insulated Lunch Jar w/ Folding Handle Bowl Lunchbox 540ml Kuromi/ My Melody/ Mickey/ Winnie the Pooh/ Kirby/ Crayon Shin-chan Direct from Japan
47450285135,,116,Thermos Soft Cooler | Insulated Cooler Bag |  5L/ 15L/ 20L Capacity | RFD-0051 RFD-0151 RFD-0201 | Direct From Japan
44652778330,,73,Thermos Insulated Shopping Cool Bag 25L RFI-025 4-Layer Direct From Japan
24483406029,,80,Thermos TTE-700 Vacuum Insulated Teapot with Strainer 700ml - Direct Fromm Japan
28509118638,,100,THERMOS Packing/ Silicone Sealing Set For Lid Cap FHT-800F/1000F (S) FHT-1500F (L) Direct From Japan
54506674024,4542202664889,109,Smiski Strap Accessory Series 3 Blind Box 【Random Style 1PCS】 Glow in The Dark Mini Figure  Direct From Japan
